user_id,num_levels_completed,returns,total_time_played,active_time,abtest_value
FgaeRBi4ddAB86sVJjRLg4h1rvF7l3NwmiKokvSx,18,1,930,870,2
fHcoej4L7ZuHy0PY0e4OZ6SdAh3qHcRYpHCh4zLv,9,0,390,390,2
fi8ToI2iZAN2aiqBssOMuYSYLqCq0h8vdtRBe0No,2,1,90,90,2
fJKKSceL0TgQk0IYqxDKpIkMrOHZU0E5aokGanKG,2,0,120,120,1
FjuSiUh77KKUpP1xuZIbZXYZMdEiS7PitA6lyuGc,2,0,210,210,2
fjxsFIoLXiWdPnLKUwDMIScNkvrGTy3nZywHHfPs,2,0,210,180,2
FmbdHXLOa7Wf11LK4Bb25ZmX6P3FsSAE2qvdKDDU,2,0,90,90,2
fo537LP6DoPaQzjzb3gA77LoFTP23hnEvO6tyuGl,1,0,60,60,2
fo7AATtKait3GqnJNzydNHagFLK8ycg3fcg1moRr,0,1,60,60,1
FPoE4ebA3vWA3GQbenmVk5QbIEgTSpVjIzapJP4y,5,0,210,210,1
fqlj53hoGkIY0coCfic5u3k0rl1goAByMxzU5syu,1,0,90,90,1
fsGQVUAyjc3IWYjo0iQ1yqLMQ2LmYocoJDABosCt,0,0,30,30,1
FuSZ027E5Qljh7nDOAJIbEl68qCwSCifkT2655CF,3,0,180,180,1
g0rtZuBA3riDJwNDXraCBHdk6IpSYxlkqmGGxFhY,1,0,90,90,2
g4wXhQTaGlWwSx6eElHYqOBYNVtVjRHVCLfZzIQJ,8,0,4140,930,2
GEhgNmN1YWR1jUKRTPUUUoAop0uKjYSfKPSUUAAt,1,0,30,30,1
gfD4j3Y7XQkaX8sqiKsmi1XKa3QZW4SMoPvfV8C4,0,0,30,30,2
gfkuA55JX83eWSwlO1L8TpQrDpffQ06jBJaTHbKW,1,0,90,90,1
GI86GadkvDEwss0NQSZMDOyOO5igqoBRFYImm6HQ,1,0,210,210,2
gjIQSGJaF7hnY4xV1OTvyOZSfQnmx4AGFRy3k2pX,1,0,60,60,2
GlQY8vaURzalzwN5zhcxq0yHPB2sClIVDjIJfjwn,0,0,0,0,1
gqZCDz2SElDDeOYECPPXWcMmqgvSDtUJRyZkl2Vx,3,2,120,120,2
GWtOgRxA8jwFvBirkxHsdU2KED4nNoiHokesCNst,1,0,60,60,1
gypdDYpTgMh8HenRHpe5a7BO5ypwGKrSQKKIRx6E,2,0,90,90,1
h0ZEaTSFIyl3Dv7eJJVAnK54q7Z3pDOlHJmQdlbd,8,0,360,360,1
H2trTg3imiYHeF02RO8GWMPQFUSNlUAUmVafDzLF,1,0,60,60,2
H8a2pF6FRHdYm5rAwDBjOd3WdtQNzgp6XHPKIJHM,2,2,90,90,1
HAGeBjfnmq5JE66KXBQS3pSDiU86edPAkhyzSLbX,3,0,180,180,2
hb3XUjwQCGM5fmt0hmQkzRAKeiwkhejNnBkr4mXh,14,1,1320,1020,1
HDwnDr6VICjWFerscIyPLHP7lsgngnvVZj8ZP5iq,0,0,0,0,1
